Epoch Time,x,y,z
1717694303.660817,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.670856,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.6808949,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.690934,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.700973,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694303.711012,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.721051,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.7310898,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.741129,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.751168,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694303.7612069,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694303.771246,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.7812848,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694303.791324,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.801363,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694303.8114018,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694303.821441,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.8314798,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.8415189,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694303.851558,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.8615968,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694303.871636,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694303.8816748,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694303.8917139,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694303.901753,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694303.9117918,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694303.921831,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.9318697,-391.34926266140405,-391.37261885183824,-391.3609186808268
1717694303.9419088,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694303.951948,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694303.9619868,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694303.9720259,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694303.9820647,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694303.9921038,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694304.002143,-391.37261885183824,-391.3609186808268,-391.37261885183824
